bu,ano,n_funcionarios,inflacao_focus,fator_reajuste,custo_por_func,fb_ant,faturamento_bruto,impostos_sv,receita_liquida,incentivos,gastos_pessoal,outras_desp_diretas,mc1,mc1_pct_rl,remuneracao_socios,mc2,mc2_pct_rl,outras_desp_adm,rateio_adm,honorarios_adm,ebitda,ebitda_pct_rl,ebit,lair,irpj_csll,lucro_liquido
RENOVAÇÃO,2026,3,0.0397,1.0597,106890.88801800001,3385238.39,3587337.1218830002,625272.860344207,2962064.2615387933,0.0,320672.66405400005,0.0,2641391.5974847935,0.8917401393960945,171690.4538365116,2469701.1436482817,0.8337770303353483,27583.706310873193,145525.0,65500.0,2231092.4373374083,0.7532221587179054,2231092.4373374083,2231092.4373374083,0.0,2231092.4373374083
RENOVAÇÃO,2027,3,0.038,1.058,112021.65064286401,3587337.1218830002,3795402.6749522146,661538.686244171,3133863.9887080435,0.0,336064.95192859205,0.0,2797799.036779451,0.8927633894963204,181856.93739066433,2615942.099388787,0.8347337691790596,29183.561276903838,144276.0,65833.33333333333,2376649.2047785497,0.7583766281313119,2376649.2047785497,2376649.2047785497,0.0,2376649.2047785497
RENOVAÇÃO,2028,3,0.035,1.055,117062.62492179289,3795402.6749522146,4004149.822074586,697923.3139876004,3306226.508086986,0.0,351187.87476537866,0.0,2955038.6333216075,0.8937798502593886,192077.5111659045,2762961.122155703,0.8356841599925283,30788.657147133552,144050.0,65777.77777777777,2522344.6872307914,0.7629074054851264,2522344.6872307914,2522344.6872307914,0.0,2522344.6872307914
RENOVAÇÃO,2029,3,0.035,1.055,122330.44304327355,4004149.822074586,4224378.0622886885,736309.0962569185,3488068.96603177,0.0,366991.3291298207,0.0,3121077.6369019495,0.8947866763232806,202870.04639862673,2918207.590503323,0.8366255423622674,32482.033290225896,140562.0,65703.7037037037,2679459.853509393,0.7681785766288051,2679459.853509393,2679459.853509393,0.0,2679459.853509393
RENOVAÇÃO,2030,3,0.035,1.055,127835.31298022086,4224378.0622886885,4456718.855714566,776806.0965510489,3679912.759163517,0.0,383505.93894066254,0.0,3296406.8202228546,0.8957839590121595,214266.44331448554,3082140.376908369,0.8375580016763691,34268.54512118832,139458.0,65771.60493827159,2842642.226848909,0.7724754397425094,2842642.226848909,2842642.226848909,0.0,2842642.226848909
