ano,receita_bruta,deducoes,receita_liquida,incentivos,gastos_pessoal,outras_desp_diretas,mc1,mc1_pct_rl,remuneracao_socios,mc2,mc2_pct_rl,outras_desp_adm,honorarios_adm,ebitda,ebitda_pct_rl,da_consolidada,ebit,receita_financeira,despesa_financeira,lair,irpj_csll,lucro_liquido,lucro_liquido_pct_rl,participacoes,caixa
2026,55717743.30911203,8767750.688162949,46949992.620949075,765933.795393929,16389433.888544118,2287444.11262171,27507180.824389324,0.585882537756047,2987545.798796433,24519635.02559289,0.522250029378114,2898126.7382845273,1198461.6,15175120.687308362,0.32321880878288417,81361.10550490959,15093759.581803452,923954.23,95333.33,15922380.481803453,1217045.5073179414,14705334.974485511,0.3132127217401094,703003.2437902543,22020331.730695255
2027,60714243.478334755,9582192.594133018,51132050.884201735,850407.1083823865,17997526.489665687,2495064.594262685,29789052.691890977,0.5825906095445684,3255036.89957906,26534015.792311918,0.5189311856941402,3227083.0358064296,1223780.4741333334,16635804.282372156,0.3253498342956574,97996.71373629494,16537807.56863586,2196528.0901368516,95333.33,18639002.328772712,1313924.897135573,17325077.431637138,0.33883009056047986,828242.6516968451,38517166.51063555
2028,66059623.004344046,10456357.30518733,55603265.69915672,942475.6278015312,19508223.215431344,2715954.5006324225,32436612.35529142,0.5833580446657713,3579774.0962380306,28856838.259053383,0.5189773999100026,3587539.7030812027,1244324.943505778,18386968.612466406,0.3306814515526786,112069.86739270185,18274898.745073706,3659130.818510377,95333.33,21838696.233584084,1401706.4287129494,20436989.804871134,0.36755017080194774,977010.7346116694,57977145.580895014
2029,71565726.14987908,11356162.196508028,60209563.95337105,1036771.3582973793,21642192.972451694,2947711.9889536314,34582887.63366834,0.574375321177394,3813944.1449613995,30768943.48870694,0.5110308307918617,3953313.1649825033,1264212.9889821836,19716082.334742256,0.32745765024990486,136961.51803862973,19579120.816703625,5232437.388675774,95333.33,24716224.875379402,1518059.6885677914,23198165.18681161,0.3852903702271835,1109011.484920716,80066299.28278592
2030,80012614.7656447,12760432.287173705,67252182.478471,1196066.1994832275,23606095.506618988,3267188.683579635,39182832.08878915,0.5826254352612645,4443887.291922423,34738944.79686673,0.5165474712733298,4606403.973993299,1284795.5511389985,22808173.27173443,0.339143986576731,156458.90271105524,22651714.369023375,7606298.431864663,95333.33,30162679.47088804,1628222.4206671745,28534457.050220866,0.42429042446846116,1364118.2537428588,107236638.07926393
