bu,ano,n_funcionarios,inflacao_focus,nfs_projetadas,horas_por_nf,horas_totais,ticket_medio,custo_por_func,base_retida,incremental_fopm,faturamento_bruto,impostos_sv,receita_liquida,incentivos,gastos_pessoal,outras_desp_diretas,mc1,mc1_pct_rl,remuneracao_socios,mc2,mc2_pct_rl,outras_desp_adm,rateio_adm,honorarios_adm,ebitda,ebitda_pct_rl,depreciacao_amort,ebit,receita_financeira,despesa_financeira,lair,irpj_csll,lucro_liquido
AMS,2026,53.2211358848468,0.0397,969.8336313402793,105.363,102184.58089890586,18970.958829,152594.88900000002,16218743.28527202,2179930.60586398,18398673.891136,2263036.8886097283,16135637.002526274,0.0,8121273.322802116,303349.97564749396,7711013.704076664,0.47788715765416573,851758.5737523083,6859255.130324355,0.4250997422196866,196693.41506079526,2579968.0,256500.0,3826093.7152635604,0.2371207108008521,270881.10550490953,3555212.609758651,81000.0,56667.0,3579545.609758651,1217045.5073179414,2362500.1024407092
AMS,2027,54.339193319622375,0.038,990.207674170961,105.363,104331.25117367496,19691.855264502,159919.44367200002,17171756.640714608,2327269.5608591097,19499026.20157372,2398380.2227935675,17100645.97878015,0.0,8689893.56525927,321492.1444010668,8089260.269119813,0.4730382863406221,893539.6893269746,7195720.579792839,0.42078647723143703,208456.87448133,2609915.0,260625.0,4116723.705311509,0.24073498220008,276571.71373629494,3840151.991575214,81000.0,56667.0,3864484.991575214,1313924.897135573,2550560.094439641
AMS,2028,55.52140849033619,0.035,1011.7508451870722,105.363,106601.10430144549,20381.070198759568,167115.81863724,18128223.48560241,2492341.513809631,20620564.99941204,2536329.494927681,18084235.50448436,0.0,9278505.631755142,339983.627484306,8465746.245244911,0.4681285113294203,935126.3302497528,7530619.914995158,0.41641903596797253,220446.83079966434,2660970.0,261281.25,4387921.834195494,0.24263795022506857,282588.86739270185,4105332.9668027917,74000.0,56667.0,4122665.9668027917,1401706.4287129494,2720959.5380898425
AMS,2029,56.681912675614434,0.035,1032.8983830868494,105.363,108829.27233717972,21094.40765571615,174636.0304759158,19137965.53375046,2650414.0260136086,21788379.55976407,2679970.68585098,19108408.873913087,0.0,9898704.2294518,359238.08682956605,8850466.557631722,0.46317129887849695,977622.535956,7872844.021675722,0.4120093972043782,232931.50417300052,2649267.0,260601.5625,4730043.955002721,0.24753730078804234,288495.5180386297,4441548.436964092,80000.0,56667.0,4464881.436964092,1518059.6885677914,2946821.7483963007
AMS,2030,58.09797747758922,0.035,1058.702929462632,105.363,111548.1167569713,21832.711923666215,182494.651847332,20203950.213980358,2910405.8577187983,23114356.071699157,2843065.7968189963,20271290.27488016,0.0,10602570.172806779,381100.257167747,9287619.844905633,0.4581661906551008,1025910.4880682763,8261709.356837357,0.40755715323533837,247107.02845078913,2692591.0,259751.953125,5062259.375261568,0.24972556293245107,295702.90271105524,4766556.472550513,79000.0,56667.0,4788889.472550513,1628222.4206671745,3160667.051883339
