bu,ano,n_funcionarios,total_projetos,horas_alocadas,capacidade_projetos,inflacao_fator_cascata,ticket_medio,custo_por_func,faturamento_bruto,impostos_sv,receita_liquida,incentivos,gastos_pessoal,outras_desp_diretas,mc1,mc1_pct_rl,remuneracao_socios,mc2,mc2_pct_rl,outras_desp_adm,rateio_adm,honorarios_adm,ebitda,ebitda_pct_rl,ebit,lair,irpj_csll,lucro_liquido
DATA SCIENCE,2026,5,2,8160.0,2.125,0.0,1300000.0,153654.72,2600000.0,453180.0,2146820.0,61184.37,768273.6,72562.51599999999,1244799.5139999997,0.5798341332761945,206138.79951839996,1038660.7144815997,0.4838136008056566,274148.914,242542.0,0.0,521969.80048159976,0.24313626688851406,521969.80048159976,521969.80048159976,0.0,521969.80048159976
DATA SCIENCE,2027,8,3,13056.0,3.4,0.03970000000000007,1351610.0,161030.14656,4054830.0,706756.8690000001,3348073.131,95420.0842335,1288241.17248,113164.87182779999,1851247.0024587,0.5529290819002424,306566.5036071607,1544680.4988515393,0.46136402593756226,427548.93882870005,384737.0,0.0,732394.5600228393,0.21875106407968103,732394.5600228393,732394.5600228393,0.0,732394.5600228393
DATA SCIENCE,2028,10,4,16320.0,4.25,0.03970000000000007,1405268.9170000001,168276.5031552,5621075.6680000005,979753.4889324001,4641322.1790676005,132277.68210342663,1682765.031552,156876.68965248487,2669402.7757596895,0.5751384352930113,442053.0996658046,2227349.6760938847,0.4798955104084886,592696.8422669326,480167.0,0.0,1154485.8338269521,0.24874072285558893,1154485.8338269521,1154485.8338269521,0.0,1154485.8338269521
DATA SCIENCE,2029,15,5,24480.0,6.375,0.03970000000000007,1461058.0930049003,175848.94579718396,7305290.465024501,1273312.1280537706,6031978.336970731,171911.38260366584,2637734.1869577593,203880.86778961067,3018451.899619695,0.5004082791742197,499855.63457702147,2518596.2650426733,0.4175406681429689,770283.6336311623,702809.0,0.0,1045503.631411511,0.17332682131888502,1045503.631411511,1045503.631411511,0.0,1045503.631411511
DATA SCIENCE,2030,17,7,27744.0,7.225,0.03970000000000007,1519062.099297195,183762.14835805722,10633434.695080364,1853407.6673525076,8780027.027727857,250230.77029024393,3123956.522086973,296764.91353720153,5109074.821813439,0.5818973911673245,846062.7904923055,4263012.0313211335,0.4855351831900156,1121209.4514408475,790259.0,0.0,2351543.579880286,0.26782874044168303,2351543.579880286,2351543.579880286,0.0,2351543.579880286
