bu,ano,n_funcionarios,inflacao_focus,fator_nominal,custo_por_func,faturamento_bruto,impostos_sv,receita_liquida,incentivos,gastos_pessoal,outras_desp_diretas,mc1,mc1_pct_rl,remuneracao_socios,mc2,mc2_pct_rl,outras_desp_adm,rateio_adm,honorarios_adm,ebitda,ebitda_pct_rl,ebit,lair,irpj_csll,lucro_liquido
VENDA SOFTWARES,2026,1,0.0397,1.0847,177811.874088,8376715.533421,1460061.5174752802,6916654.01594572,168994.999471224,177811.874088,1276851.3029351004,5292995.839451396,0.7652538101875377,0.0,5292995.839451396,0.7652538101875377,0.0,48508.0,327500.0,4916987.839451396,0.7108911083474359,4916987.839451396,4916987.839451396,0.0,4916987.839451396
VENDA SOFTWARES,2027,1,0.038,1.083,186346.844044224,9071982.922694942,1581246.6234257284,7490736.299269213,183021.58442733556,186346.844044224,1382829.9610787136,5738537.90971894,0.7660846251227379,0.0,5738537.90971894,0.7660846251227379,0.0,48092.0,327500.0,5362945.90971894,0.7159437597932986,5362945.90971894,5362945.90971894,0.0,5362945.90971894
VENDA SOFTWARES,2028,1,0.035,1.0799999999999998,194732.45202621407,9797741.556510536,1707746.3532997866,8089995.20321075,197663.3111815224,194732.45202621407,1493456.3579650105,6204143.082038003,0.7668908233191175,0.0,6204143.082038003,0.7668908233191175,0.0,48017.0,327500.0,5828626.082038003,0.7204733668722997,5828626.082038003,5828626.082038003,0.0,5828626.082038003
VENDA SOFTWARES,2029,1,0.035,1.0799999999999998,203495.4123673937,10581560.881031377,1844366.0615637691,8737194.819467608,213476.37607604417,203495.4123673937,1612932.866602211,6707290.164421959,0.7676708947220958,0.0,6707290.164421959,0.7676708947220958,0.0,46854.0,327500.0,6332936.164421959,0.7248248774665471,6332936.164421959,6332936.164421959,0.0,6332936.164421959
VENDA SOFTWARES,2030,1,0.035,1.0799999999999998,212652.7059239264,11428085.751513885,1991915.3464888704,9436170.405025015,230554.48616212764,212652.7059239264,1741967.4959303876,7250995.717008573,0.768425686033311,0.0,7250995.717008573,0.768425686033311,0.0,46486.0,327500.0,6877009.717008573,0.7287924467055386,6877009.717008573,6877009.717008573,0.0,6877009.717008573
