ano,ac_op,pc_op,ncg,delta_ncg
2025,7477000.0,2963000.0,4514000.0,
2026,6607460.3676791135,2918157.528476671,3689302.8392024427,-824697.1607975573
2027,7162627.053148307,3194596.6733710216,3968030.3797772853,278727.5405748426
2028,7756558.111593783,3463923.211829967,4292634.899763816,324604.51998653077
2029,8368347.349986565,3806605.88326046,4561741.466726106,269106.5669622896
2030,9306890.529516077,4165613.5221830653,5141277.007333011,579535.5406069057
