ano,receita_bruta,total_impostos_sv,custo_total_pessoal,custos_excl_pessoal,func_novos,capex,da_total,clientes,adiantamentos,impostos_recuperar,outros_ac,partes_relacionadas,imobilizado,depr_acumulada,fornecedores,obrig_trabalhistas,obrig_fiscais,provisoes,contas_a_pagar,outras_obrigacoes,receitas_diferidas
2026,55717743.30911203,8767750.688162949,18104781.238544118,7751662.971175166,26.019000000000005,405779.3145000001,81155.86290000002,6190860.3676791135,116400.0,286600.0,13600.0,0.0,2896779.3145000003,-1744155.8629,38456.0,698554.8793079862,730645.8906802457,1450500.758488439,737010.8793079862,-114600.0,217600.0
2027,60714243.47833476,9582192.594133018,19796805.619665686,9308607.135658134,5.082999999999998,79271.92649999997,97010.24820000002,6746027.053148307,116400.0,286600.0,13600.0,0.0,2976051.2410000004,-1841166.1111,46180.0,763839.9480291809,798516.0495110848,1586060.6758307556,810019.9480291809,-114600.0,217600.0
2028,66059623.004344046,10456357.30518733,21348464.655431345,11787139.689578714,4.149000000000001,64705.729500000016,109951.39410000002,7339958.111593783,116400.0,286600.0,13600.0,0.0,3040756.9705000003,-1951117.5052,58476.0,823709.160265163,871363.1087656107,1710374.9427991929,882185.160265163,-114600.0,217600.0
2029,71565726.14987908,11356162.196508028,23562632.44245169,12769804.474904252,7.125,111117.9375,132174.98160000003,7951747.349986565,116400.0,286600.0,13600.0,0.0,3151874.9080000003,-2083292.4868,63351.0,909140.610159556,946346.8497090023,1887767.423391902,972491.610159556,-114600.0,217600.0
2030,80012614.7656447,12760432.287173703,25555615.916618988,13861519.85486797,5.3799999999999955,83903.78999999994,148955.73960000003,8890290.529516077,116400.0,286600.0,13600.0,0.0,3235778.6980000003,-2232248.2264,68767.0,986037.884526827,1063369.3572644754,2047439.2803917632,1054804.884526827,-114600.0,217600.0
