ano,ebit,ir_csll_ams,nopat,da_total,capex,delta_ncg,fcff,lucro_liquido,dividendos,caixa_final
2026,15093759.581803452,1217045.5073179414,13876714.07448551,81155.86290000002,405779.3145000001,-824697.1607975573,14376787.783683067,14705334.974485513,7352667.487242756,15042120.296440313
2027,16537807.56863586,1313924.897135573,15223882.671500288,97010.24820000002,79271.92649999997,278727.5405748426,14962893.452625444,17325077.431637138,8662538.715818569,21342475.033247188
2028,18274898.745073702,1401706.4287129494,16873192.316360753,109951.39410000002,64705.729500000016,324604.51998653077,16593833.460974222,20436989.80487113,10218494.902435565,27717813.59178585
2029,19579120.816703625,1518059.6885677914,18061061.128135834,132174.98160000003,111117.9375,269106.5669622896,17813011.605273545,23198165.18681161,11599082.593405806,33931742.60365359
2030,22651714.36902337,1628222.4206671745,21023491.948356196,148955.73960000003,83903.78999999994,579535.5406069057,20509008.35734929,28534457.050220866,14267228.525110433,40173522.43589245
