linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
# Funcionários - Média,30.5,30.333,32.167,31.833,37.083,43.083,45.667,45.333,46,47,48,49,51
Horas por NF (méd. hist.),,,,,,314.028,244.69,262.169,273.629,273.629,273.629,273.629,273.629
Total NFs,,,,,,216,258,249,243.694,250.64,259.341,266.463,282.707
Ticket Médio (R$),,,,,,52801,95237,91514,93375.5,96923.769,100316.1,103827.16,107461.12
Inflação Focus (%),,,,,,,,,0.0397,0.038,0.035,0.035,0.035
Ociosidade %,,,,,,0.18,0.28,0.25,0.245,0.24,0.23,0.225,0.21
Incentivos % s/RL,0.021218,0.020725,0.021103,0.031738,0.03575,0.034517,0.024671,0.026356,0.028515,0.028515,0.028515,0.028515,0.028515
Outras Desp. Dir. % s/RL,0.042788,0.035962,0.002289,0.025949,0.032206,0.032665,0.038167,0.030507,0.03378,0.03378,0.03378,0.03378,0.03378
Custo Médio/Func (R$),107676.4,118179.87,88396.14,120651.44,156457.31,154932.18,130046.65,150016.12,152204.73,159510.56,166688.54,174189.52,182028.05
Rem. Sócios % s/MC I,0.178096,0.177354,0.149776,0.175641,0.197731,0.166341,0.172842,0.157557,0.16558,0.16558,0.16558,0.16558,0.16558
Outras Desp. ADM % s/RL,0.129411,0.097639,0.284618,0.13378,0.094832,0.092553,0.127423,0.163183,0.12772,0.12772,0.12772,0.12772,0.12772
