linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
RATIO D&A / FUNC,,,,,0.000181746,0.000174603,0.000233129,0.000196493,0.000196493,0.000196493,0.000196493,0.000196493,0.000196493
Taxa Conversão FOPM→AMS (%),,,,,,0.5346,0.5346,0.5346,0.0958,0.0958,0.0958,0.0958,0.0958
FB FOPM Brasil (referência),12572568.8,13120312.12,9579555.22,13500779.15,17311108.13,24896165.29,24571136.45,22787020.44,22755016.76,24293001.68,26016090.96,27666117.18,30380019.39
Componente Incremental (R$),,,,,,2191832.07,1932423.19,2800341.32,2179930.61,2327269.56,2492341.51,2650414.03,2910405.86
Componente Base Retida (R$),,,,,,8368977.26,10560809.33,12493232.52,16206600.19,17146583.0,18089645.07,19084575.54,20134227.2
Taxa de Churn Anual (%),,,,,,,,,0,0,0,0,0
Inflação Focus (%),,,,,,,,,0.0397,0.038,0.035,0.035,0.035
Spread Real (%),,,,,,,,,0.02,0.02,0.02,0.02,0.02
Fator Acumulado de Reajuste,,,,,,,,,1.0597,1.121163,1.182827,1.247882,1.316516
N.º NFs Projetadas,,,,,,573,610,642,969.194,988.93,1009.858,1030.368,1055.51
Horas Totais Necessárias,,,,,,56320,72960,63040,102117.3,104196.72,106401.84,108562.77,111211.82
Ticket Médio / NF (R$),,,,,,18390.33,18343.21,18006.16,18970.95,19691.85,20381.06,21094.4,21832.7
Horas / NF (média hist.),,,,,,98.29,119.607,98.193,,,,,
Custo / Funcionário (R$),,,,,,143921.8,132112.72,160074.4,152594.51,159919.05,167115.41,174635.6,182494.2
Outras Desp. Diretas / RL,,,,,,0.001571,0.013136,0.024459,0.018797,0.018797,0.018797,0.018797,0.018797
Rem. Sócios / MC I,,,,,,0.121179,0.118096,0.092103,0.110459,0.110459,0.110459,0.110459,0.110459
Outras ADM / RL,,,,,,0.013951,0.009628,0.01298,0.012186,0.012186,0.012186,0.012186,0.012186
Honorários ADM Sócios (R$),,,,,,258000,264000,264000,256500,260625,261281.25,260601.56,259751.95
IR/CSLL (%),,,,,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
